District,County Name,City,Locale,Charter,Students,Teachers,Student Teacher Ratio,Directly Certified,Type
Manchester Essex Regional,Essex County,Manchester,"Suburban, Large",No,279,30.25,9.22,34,Regular
Manchester Essex Regional,Essex County,Manchester,"Suburban, Large",No,304,30.7,9.9,25,Regular
Boston,Suffolk County,Jamaica Plain,"City, Large",No,159,14.8,10.74,36,Regular
Plymouth,Plymouth County,Plymouth,"Suburban, Large",No,263,21.03,12.51,92,Regular
Mansfield,Bristol County,Mansfield,"Suburban, Large",No,1002,90.63,11.06,188,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,838,46.4,18.06,582,Regular
Map Academy Charter School,Plymouth County,Plymouth,"Suburban, Large",Yes,301,27.3,11.03,191,Other/Alternative
East Longmeadow,Hampden County,East Longmeadow,"Suburban, Large",No,297,23.23,12.79,92,Regular
Hopkinton,Middlesex County,Hopkinton,"Suburban, Large",No,545,43.63,12.49,44,Regular
Marblehead Community Charter Public,Essex County,Marblehead,"Suburban, Large",Yes,192,16,12,55,Regular
Marblehead,Essex County,Marblehead,"Suburban, Large",No,861,80.1,10.75,92,Regular
Marblehead,Essex County,Marblehead,"Suburban, Large",No,411,38.2,10.76,51,Regular
Southborough,Worcester County,Southborough,"Suburban, Large",No,275,19,14.47,17,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,141,18.3,7.7,115,Regular
Randolph,Norfolk County,Randolph,"Rural, Fringe",No,415,35.24,11.78,258,Regular
Boston,Suffolk County,Boston,"City, Large",No,428,46.91,9.12,385,Regular
Northborough,Worcester County,Northborough,"Suburban, Large",No,267,21.71,12.3,50,Regular
Dennis-Yarmouth,Barnstable County,West Yarmouth,"Suburban, Large",No,302,31,9.74,202,Regular
Lexington,Middlesex County,Lexington,"Suburban, Large",No,579,55.98,10.34,64,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,360,32.8,10.98,62,Regular
Weymouth,Norfolk County,Weymouth,"Suburban, Large",No,1187,106.6,11.14,507,Regular
Boston,Suffolk County,East Boston,"City, Large",No,634,63.08,10.05,535,Regular
Northborough,Worcester County,Northborough,"Suburban, Large",No,249,19.25,12.94,40,Regular
Swansea,Bristol County,Swansea,"Suburban, Large",No,234,19.85,11.79,62,Regular
Marlborough,Middlesex County,Marlborough,"Suburban, Large",No,985,87.49,11.26,574,Regular
Methuen,Essex County,Methuen,"Suburban, Large",No,996,78.22,12.73,454,Regular
Billerica,Middlesex County,Billerica,"Suburban, Large",No,596,50.81,11.73,171,Regular
Burlington,Middlesex County,Burlington,"Suburban, Large",No,848,73.07,11.61,164,Regular
Marshfield,Plymouth County,Marshfield,"Suburban, Large",No,1119,101.9,10.98,184,Regular
Westwood,Norfolk County,Westwood,"Suburban, Large",No,275,19.45,14.14,7,Regular
Martha's Vineyard Charter Public School,Dukes County,West Tisbury,"Rural, Fringe",Yes,176,23.35,7.54,64,Regular
Martha's Vineyard,Dukes County,Oak Bluffs,"Town, Fringe",No,744,87.38,8.51,266,Regular
Randolph,Norfolk County,Randolph,"Suburban, Large",No,320,27.93,11.46,216,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,340,33.2,10.24,67,Regular
Martin Luther King Jr. Charter School of Excellence,Hampden County,Springfield,"City, Midsize",Yes,354,37,9.57,293,Regular
Marshfield,Plymouth County,Marshfield,"Suburban, Large",No,445,37.8,11.77,115,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,304,26.45,11.49,227,Regular
Woburn,Middlesex County,Woburn,"Suburban, Large",No,248,24.16,10.26,132,Regular
Southborough,Worcester County,Southborough,"Suburban, Large",No,345,31.8,10.85,38,Regular
Braintree,Norfolk County,Braintree,"Suburban, Large",No,290,27.05,10.72,82,Regular
Framingham,Middlesex County,Framingham,"City, Small",No,359,35.94,9.99,231,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,769,53.29,14.43,555,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,598,43,13.91,522,Regular
Middleborough,Plymouth County,Middleborough,"Suburban, Large",No,590,38.6,15.28,214,Regular
Belmont,Middlesex County,Belmont,"Suburban, Large",No,238,17.9,13.3,23,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,216,18.95,11.4,188,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,232,27.4,8.47,190,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,365,33.4,10.93,294,Regular
Nashoba,Worcester County,Lancaster,"Rural, Fringe",No,473,38,12.45,102,Regular
Masconomet,Essex County,Boxford,"Suburban, Large",No,924,75.72,12.2,79,Regular
Masconomet,Essex County,Boxford,"Suburban, Large",No,553,51.23,10.79,71,Regular
Mashpee,Barnstable County,Mashpee,"Suburban, Large",No,600,62.49,9.6,217,Regular
Boston,Suffolk County,Roxbury,"City, Large",No,205,21.67,9.46,182,Regular
Dudley-Charlton Reg,Worcester County,Dudley,"Suburban, Large",No,290,21,13.81,127,Regular
Newton,Middlesex County,Newton Centre,"City, Small",No,321,27.4,11.72,10,Regular
Match Charter Public School,Suffolk County,Boston,"City, Large",Yes,1189,116.13,10.24,840,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,473,43.63,10.84,327,Regular
Boston,Suffolk County,Mattapan,"City, Large",No,581,52.19,11.13,480,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,646,62.38,10.36,531,Regular
Holyoke,Hampden County,Holyoke,"Suburban, Large",No,388,32.18,12.06,328,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,310,21.74,14.26,174,Regular
Maynard,Middlesex County,Maynard,"Suburban, Large",No,310,32.14,9.65,72,Regular
Winchester,Middlesex County,Winchester,"Suburban, Large",No,1036,82.22,12.6,94,Regular
Chelmsford,Middlesex County,Chelmsford,"Suburban, Large",No,808,65,12.43,159,Regular
Acton-Boxborough,Middlesex County,Acton,"Suburban, Large",No,431,35,12.31,79,Regular
Fitchburg,Worcester County,Fitchburg,"Suburban, Midsize",No,754,67,11.25,583,Regular
Boston,Suffolk County,East Boston,"City, Large",No,640,67.18,9.53,491,Regular
Beverly,Essex County,Beverly,"Suburban, Large",No,125,11,11.36,37,Regular
East Longmeadow,Hampden County,East Longmeadow,"Suburban, Large",No,516,36.13,14.28,133,Regular
Medfield,Norfolk County,Medfield,"Suburban, Large",No,704,55.27,12.74,47,Regular
Medford,Middlesex County,Medford,"Suburban, Large",No,1195,130.02,9.19,504,Regular
Medway,Norfolk County,Medway,"Suburban, Large",No,622,45,13.82,92,Regular
Medway,Norfolk County,Medway,"Suburban, Large",No,677,54,12.54,90,Regular
Ashburnham-Westminster,Worcester County,Westminster,"Suburban, Midsize",No,210,13.92,15.09,45,Regular
Melrose,Middlesex County,Melrose,"Suburban, Large",No,967,75.27,12.85,158,Regular
Melrose,Middlesex County,Melrose,"Suburban, Large",No,886,66.75,13.27,157,Regular
Boston,Suffolk County,Boston,"City, Large",No,125,38.45,3.25,111,Regular
Milford,Worcester County,Milford,"Suburban, Large",No,435,41.5,10.48,269,Regular
Natick,Middlesex County,Natick,"Suburban, Large",No,455,31.42,14.48,44,Regular
Burlington,Middlesex County,Burlington,"Suburban, Large",No,372,36.93,10.07,77,Regular
Hopedale,Worcester County,Hopedale,"Suburban, Large",No,558,44.1,12.65,135,Regular
Winchendon,Worcester County,Winchendon,"Town, Fringe",No,268,16.1,16.65,146,Regular
West Springfield,Hampden County,West Springfield,"Suburban, Large",No,189,20.64,9.16,143,Regular
Middleborough,Plymouth County,Middleboro,"Suburban, Large",No,273,18,15.17,111,Regular
Fitchburg,Worcester County,Fitchburg,"Suburban, Midsize",No,601,46,13.07,401,Regular
Medfield,Norfolk County,Medfield,"Suburban, Large",No,412,22.12,18.63,29,Regular
Mendon-Upton,Worcester County,Upton,"Suburban, Large",No,493,35,14.09,67,Regular
Newton,Middlesex County,Newton Centre,"City, Small",No,342,34.5,9.91,38,Regular
Boston,Suffolk County,Roxbury,"City, Large",No,309,29.44,10.5,180,Regular
Arlington,Middlesex County,Arlington,"Suburban, Large",No,100,8,12.5,27,Regular
Acton-Boxborough,Middlesex County,Acton,"Suburban, Large",No,395,30,13.17,48,Regular
Bridgewater-Raynham,Bristol County,Raynham,"Suburban, Large",No,310,18.66,16.61,82,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,291,24.4,11.93,77,Regular
Methuen,Essex County,Methuen,"Suburban, Large",No,1841,140.77,13.08,930,Regular
Brookline,Norfolk County,Brookline,"Suburban, Large",No,567,41.61,13.63,69,Regular
South Hadley,Hampshire County,South Hadley,"Suburban, Large",No,505,44.9,11.25,172,Regular
Middleborough,Plymouth County,Middleborough,"Suburban, Large",No,774,68.22,11.35,277,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,249,18.38,13.55,116,Regular
Seekonk,Bristol County,Seekonk,"Suburban, Large",No,578,44.25,13.06,110,Regular
Boston,Suffolk County,Mattapan,"City, Large",No,601,56.69,10.6,511,Regular
Hampden-Wilbraham,Hampden County,Wilbraham,"Suburban, Large",No,355,22.39,15.86,71,Regular
Hamilton-Wenham,Essex County,Hamilton,"Rural, Fringe",No,391,37.8,10.34,37,Regular
Milford,Worcester County,Milford,"Suburban, Large",No,1316,110.74,11.88,696,Regular
Westborough,Worcester County,Westborough,"Suburban, Large",No,834,75.94,10.98,137,Regular
Millbury,Worcester County,Millbury,"Suburban, Large",No,722,63.66,11.34,262,Regular
Grafton,Worcester County,Grafton,"Suburban, Large",No,585,48.38,12.09,78,Regular
Holliston,Middlesex County,Holliston,"Suburban, Large",No,649,49.34,13.15,77,Regular
Millis,Norfolk County,Millis,"Suburban, Large",No,286,26.73,10.7,48,Regular
Millis,Norfolk County,Millis,"Suburban, Large",No,267,22.06,12.1,48,Regular
Blackstone-Millville,Worcester County,Millville,"Rural, Fringe",No,459,34.84,13.17,169,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,385,33.9,11.36,359,Regular
Medford,Middlesex County,Medford,"Suburban, Large",No,586,47.03,12.46,177,Regular
Milton,Norfolk County,Milton,"Suburban, Large",No,1083,87.12,12.43,163,Regular
Hampden-Wilbraham,Hampden County,Wilbraham,"Suburban, Large",No,990,69.7,14.2,250,Regular
Minuteman Regional Vocational Technical,Middlesex County,Lexington,"Rural, Fringe",No,669,82.1,8.15,139,Vocational
Framingham,Middlesex County,Framingham,"City, Small",No,490,45.35,10.8,330,Regular
Mendon-Upton,Worcester County,Mendon,"Rural, Fringe",No,647,49.23,13.14,81,Regular
Medford,Middlesex County,Medford,"Suburban, Large",No,418,41.08,10.18,166,Regular
Bridgewater-Raynham,Plymouth County,Bridgewater,"Suburban, Large",No,931,53.36,17.45,247,Regular
West Springfield,Hampden County,West Springfield,"Suburban, Large",No,110,13.14,8.37,64,Regular
Mohawk Trail,Franklin County,Shelburne Falls,"Rural, Distant",No,316,33.35,9.48,142,Regular
Monomoy Regional School District,Barnstable County,Harwich,"Suburban, Large",No,738,62.5,11.81,261,Regular
Monomoy Regional School District,Barnstable County,Chatham,"Suburban, Large",No,395,40.39,9.78,158,Regular
Monson,Hampden County,Monson,"Rural, Fringe",No,280,34.25,8.18,113,Regular
Montachusett Regional Vocational Technical,Worcester County,Fitchburg,"Suburban, Midsize",No,1417,119,11.91,392,Vocational
Quincy,Norfolk County,Quincy,"Suburban, Large",No,365,29.59,12.34,187,Regular
Berkshire Hills,Berkshire County,Great Barrington,"Rural, Fringe",No,431,46.56,9.26,180,Regular
Haverhill,Essex County,Haverhill,"Suburban, Large",No,167,15.6,10.71,105,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,248,22,11.27,199,Regular
Haverhill,Essex County,Haverhill,"Suburban, Large",No,174,9,19.33,107,Regular
Holyoke,Hampden County,Holyoke,"Suburban, Large",No,334,31.46,10.62,326,Regular
Pittsfield,Berkshire County,Pittsfield,"City, Small",No,376,33.98,11.07,307,Regular
Lenox,Berkshire County,Lenox,"Town, Fringe",No,332,30.8,10.78,70,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,328,32.3,10.15,112,Regular
Falmouth,Barnstable County,Falmouth,"Suburban, Large",No,472,42.9,11,164,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,751,57.64,13.03,516,Regular
South Hadley,Hampshire County,South Hadley,"Suburban, Large",No,365,27.3,13.37,139,Regular
East Longmeadow,Hampden County,East Longmeadow,"Suburban, Large",No,286,26.77,10.68,54,Regular
Easthampton,Hampshire County,Easthampton,"Suburban, Small",No,991,82.63,11.99,382,Regular
Berkshire Hills,Berkshire County,Great Barrington,"Rural, Fringe",No,9,1,9,3,Regular
