District,County Name,City,Locale,Charter,Students,Teachers,Student Teacher Ratio,Directly Certified,Type
Greenfield,Franklin County,Greenfield,"Town, Distant",No,174,14.77,11.78,134,Regular
Newton,Middlesex County,Newton Centre,"City, Small",No,1898,162.95,11.65,221,Regular
Somerville,Middlesex County,Somerville,"Suburban, Large",No,16,5.11,3.13,13,Other/Alternative
Mendon-Upton,Worcester County,Upton,"Rural, Fringe",No,534,46.61,11.46,85,Regular
North Middlesex,Middlesex County,Pepperell,"Town, Fringe",No,494,46.7,10.58,137,Regular
Norfolk County Agricultural,Norfolk County,Walpole,"Suburban, Large",No,597,60.77,9.82,131,Vocational
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,990,83.83,11.81,705,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,504,42.67,11.81,354,Regular
North Andover,Essex County,North Andover,"Suburban, Large",No,1328,99.68,13.32,322,Regular
North Andover,Essex County,North Andover,"Suburban, Large",No,1023,75.85,13.49,229,Regular
North Attleborough,Bristol County,North Attleborough,"Suburban, Large",No,1018,77.65,13.11,228,Regular
North Attleborough,Bristol County,North Attleborough,"Suburban, Large",No,154,9.4,16.38,55,Regular
North Attleborough,Bristol County,North Attleborough,"Suburban, Large",No,965,72.2,13.37,241,Regular
Beverly,Essex County,Beverly,"Suburban, Large",No,356,29,12.28,117,Regular
North Brookfield,Worcester County,North Brookfield,"Rural, Distant",No,240,20.9,11.48,111,Regular
North Brookfield,Worcester County,North Brookfield,"Rural, Distant",No,157,28.6,5.49,79,Regular
Somerset,Bristol County,Somerset,"Suburban, Large",No,471,36.65,12.85,137,Regular
Fall River,Bristol County,Fall River,"Rural, Fringe",No,655,48.3,13.56,451,Regular
Falmouth,Barnstable County,North Falmouth,"Suburban, Large",No,303,28.8,10.52,71,Regular
Grafton,Worcester County,North Grafton,"Suburban, Large",No,257,18.72,13.73,29,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,1376,95.23,14.45,1111,Regular
Wilmington,Middlesex County,Wilmington,"Suburban, Large",No,246,21.45,11.47,32,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,427,31.03,13.76,339,Regular
North Middlesex,Middlesex County,Townsend,"Rural, Fringe",No,711,54.1,13.14,167,Regular
Pembroke,Plymouth County,Pembroke,"Suburban, Large",No,518,35.01,14.8,79,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,1520,97.94,15.52,609,Regular
Randolph,Norfolk County,Randolph,"Suburban, Large",No,282,25.75,10.95,173,Regular
North Reading,Middlesex County,North Reading,"Suburban, Large",No,652,64.46,10.11,77,Regular
North Reading,Middlesex County,North Reading,"Suburban, Large",No,494,50.73,9.74,52,Regular
Grafton,Worcester County,Grafton,"Rural, Fringe",No,575,40.33,14.26,75,Regular
Northampton,Hampshire County,Northampton,"City, Small",No,875,59.7,14.66,213,Regular
Northbridge,Worcester County,Whitinsville,"Suburban, Large",No,973,65.1,14.95,361,Regular
Northbridge,Worcester County,Whitinsville,"Suburban, Large",No,471,43.63,10.8,171,Regular
Northbridge,Worcester County,Whitinsville,"Suburban, Large",No,394,33.36,11.81,148,Regular
Waltham,Middlesex County,Waltham,"City, Small",No,527,49.16,10.72,284,Regular
Northeast Metropolitan Regional Vocational Technical,Middlesex County,Wakefield,"Suburban, Large",No,1381,128.8,10.72,683,Vocational
Pioneer Valley,Franklin County,Northfield,"Rural, Distant",No,141,13.95,10.11,53,Regular
Leominster,Worcester County,Leominster,"Suburban, Midsize",No,665,48.95,13.59,402,Regular
Norton,Bristol County,Norton,"Suburban, Large",No,685,62.67,10.93,157,Regular
Norton,Bristol County,Norton,"Suburban, Large",No,527,41.4,12.73,136,Regular
Norwell,Plymouth County,Norwell,"Rural, Fringe",No,601,51.54,11.66,40,Regular
Norwell,Plymouth County,Norwell,"Rural, Fringe",No,509,44,11.57,30,Regular
Norwood,Norfolk County,Norwood,"Suburban, Large",No,966,84.01,11.5,386,Regular
Boston,Suffolk County,Roxbury,"City, Large",No,1509,99.17,15.22,864,Regular
Boston,Suffolk County,East Boston,"City, Large",No,256,24.83,10.31,212,Regular
Stoughton,Norfolk County,Stoughton,"Suburban, Large",No,801,70.8,11.31,361,Regular
Oak Bluffs,Dukes County,Oak Bluffs,"Town, Fringe",No,402,52.54,7.65,140,Regular
Newton,Middlesex County,Newton Centre,"City, Small",No,649,67.77,9.58,85,Regular
Shrewsbury,Worcester County,Shrewsbury,"Suburban, Large",No,914,64.11,14.26,137,Regular
Sandwich,Barnstable County,East Sandwich,"Rural, Fringe",No,673,56.75,11.86,181,Regular
Franklin,Norfolk County,Franklin,"Suburban, Large",No,398,30.76,12.94,89,Regular
Dedham,Norfolk County,Dedham,"Suburban, Large",No,262,24.47,10.71,42,Regular
Quabbin,Worcester County,Oakham,"Rural, Distant",No,152,10.4,14.62,34,Regular
Ashburnham-Westminster,Worcester County,Ashburnham,"Rural, Fringe",No,633,46.41,13.64,147,Regular
Boston,Suffolk County,West Roxbury,"City, Large",No,477,42.25,11.29,337,Regular
Old Colony Regional Vocational Technical,Plymouth County,Rochester,"Rural, Fringe",No,554,61,9.08,117,Vocational
Mattapoisett,Plymouth County,Mattapoisett,"Suburban, Midsize",No,154,16.03,9.61,25,Regular
Palmer,Hampden County,Palmer,"Suburban, Large",No,677,52.1,12.99,367,Regular
Walpole,Norfolk County,East Walpole,"Suburban, Large",No,458,32.5,14.09,44,Regular
Old Rochester,Plymouth County,Mattapoisett,"Rural, Fringe",No,643,51.4,12.51,138,Regular
Old Rochester,Plymouth County,Mattapoisett,"Rural, Fringe",No,407,36.83,11.05,96,Regular
Old Sturbridge Academy Charter Public School,Worcester County,Sturbridge,"Rural, Fringe",Yes,356,24.5,14.53,172,Regular
Easton,Bristol County,North Easton,"Suburban, Large",No,1045,82.72,12.63,195,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,469,43,10.91,426,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,348,30,11.6,299,Regular
Boston,Suffolk County,Roxbury,"City, Large",No,689,67.51,10.21,572,Regular
Orleans,Barnstable County,Orleans,"Suburban, Large",No,149,20.43,7.29,59,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,864,48.4,17.85,729,Regular
Boston,Suffolk County,East Boston,"City, Large",No,408,30.45,13.4,262,Regular
Arlington,Middlesex County,Arlington,"Suburban, Large",No,963,84.51,11.4,100,Regular
Ashburnham-Westminster,Worcester County,Ashburnham,"Rural, Fringe",No,576,39.1,14.73,140,Regular
Oxford,Worcester County,Oxford,"Suburban, Large",No,453,43.86,10.33,209,Regular
Oxford,Worcester County,Oxford,"Suburban, Large",No,385,38.29,10.05,166,Regular
Southborough,Worcester County,Southborough,"Suburban, Large",No,404,40.96,9.86,32,Regular
Ayer Shirley School District,Middlesex County,Ayer,"Suburban, Large",No,539,42.8,12.59,197,Regular
Auburn,Worcester County,Auburn,"Suburban, Large",No,249,17.03,14.62,77,Regular
Palmer,Hampden County,Palmer,"Suburban, Large",No,416,46.95,8.86,228,Regular
Dighton-Rehoboth,Bristol County,Rehoboth,"Rural, Fringe",No,618,44.02,14.04,112,Regular
Westfield,Hampden County,Westfield,"Suburban, Large",No,312,27.84,11.21,158,Regular
Institutional Schools,Norfolk County,Canton,"Suburban, Large",No,–,–,†,†,Special Education
Webster,Worcester County,Webster,"Suburban, Large",No,738,62.5,11.81,551,Regular
Hopedale,Worcester County,Hopedale,"Suburban, Large",No,94,5.1,18.43,14,Regular
Billerica,Middlesex County,Billerica,"Suburban, Large",No,446,32.79,13.6,131,Regular
Shrewsbury,Worcester County,Shrewsbury,"Suburban, Large",No,193,11,17.55,47,Regular
Everett,Middlesex County,Everett,"Suburban, Large",No,992,70.37,14.1,756,Regular
Franklin,Norfolk County,Franklin,"Suburban, Large",No,309,22.34,13.83,94,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,585,42,13.93,482,Regular
Pathfinder Regional Vocational Technical,Hampden County,Palmer,"Suburban, Large",No,660,66.39,9.94,258,Vocational
Ipswich,Essex County,Ipswich,"Rural, Fringe",No,366,34.85,10.5,58,Regular
Acton-Boxborough,Middlesex County,Acton,"Suburban, Large",No,380,30,12.67,47,Regular
Ludlow,Hampden County,Ludlow,"Suburban, Large",No,513,46,11.15,200,Regular
Revere,Suffolk County,Revere,"Suburban, Large",No,497,45.33,10.96,318,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,463,34,13.62,275,Regular
Wachusett,Worcester County,Paxton,"Rural, Fringe",No,448,35.04,12.79,81,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,314,28,11.21,97,Regular
Peabody,Essex County,Peabody,"Suburban, Large",No,97,6.22,15.59,66,Regular
Peabody,Essex County,Peabody,"Suburban, Large",No,1333,129.42,10.3,614,Regular
Arlington,Middlesex County,Arlington,"Suburban, Large",No,318,24.11,13.19,35,Regular
Newton,Middlesex County,West Newton,"City, Small",No,249,21.2,11.75,31,Regular
Pelham,Hampshire County,Pelham,"Suburban, Small",No,128,12,10.67,34,Regular
Pembroke,Plymouth County,Pembroke,"Suburban, Large",No,353,28.44,12.41,56,Regular
Pembroke,Plymouth County,Pembroke,"Suburban, Large",No,690,56.05,12.31,120,Regular
Georgetown,Essex County,Georgetown,"Suburban, Large",No,674,38.74,17.4,86,Regular
Haverhill,Essex County,Haverhill,"Suburban, Large",No,527,48,10.98,362,Regular
Pentucket,Essex County,West Newbury,"Suburban, Large",No,335,26.83,12.49,56,Regular
Pentucket,Essex County,West Newbury,"Suburban, Large",No,578,49.92,11.58,95,Regular
Boston,Suffolk County,South Boston,"City, Large",No,167,18.9,8.84,149,Regular
Georgetown,Essex County,Georgetown,"Suburban, Large",No,68,4,17,7,Regular
Boston,Suffolk County,South Boston,"City, Large",No,213,20.65,10.31,67,Regular
Sudbury,Middlesex County,Sudbury,"Rural, Fringe",No,508,43.8,11.6,26,Regular
Attleboro,Bristol County,Attleboro,"Suburban, Large",No,467,35.22,13.26,224,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,471,36.98,12.74,253,Regular
Petersham,Worcester County,Petersham,"Rural, Distant",No,142,12.5,11.36,43,Regular
Rockland,Plymouth County,Rockland,"Suburban, Large",No,639,47.25,13.52,316,Regular
Boston,Suffolk County,Roslindale,"City, Large",No,131,13.33,9.83,79,Regular
West Springfield,Hampden County,West Springfield,"Suburban, Large",No,699,64.96,10.76,548,Regular
Phoenix Academy Charter Public High School Chelsea,Suffolk County,Chelsea,"Suburban, Large",Yes,198,9.93,19.94,151,Other/Alternative
Phoenix Academy Public Charter High School Lawrence,Essex County,Lawrence,"Suburban, Large",Yes,140,5.02,27.89,120,Other/Alternative
Phoenix Academy Public Charter High School Springfield,Hampden County,Springfield,"City, Midsize",Yes,158,11.5,13.74,151,Other/Alternative
Lynn,Essex County,Lynn,"Suburban, Large",No,583,59.02,9.88,345,Regular
Brookline,Norfolk County,Brookline,"Suburban, Large",No,592,44.5,13.3,84,Regular
Burlington,Middlesex County,Burlington,"Suburban, Large",No,320,33.37,9.59,49,Regular
Triton,Essex County,Rowley,"Rural, Fringe",No,429,38.29,11.2,83,Regular
Sherborn,Middlesex County,Sherborn,"Rural, Fringe",No,397,37.6,10.56,21,Regular
Westwood,Norfolk County,Westwood,"Suburban, Large",No,473,34.79,13.6,43,Regular
Pioneer Charter School of Science,Middlesex County,Everett,"Suburban, Large",Yes,795,71.95,11.05,376,Regular
Pioneer Charter School of Science II,Essex County,Saugus,"Suburban, Large",Yes,621,52.7,11.78,265,Regular
Pioneer Valley Chinese Immersion Charter,Hampshire County,Hadley,"Suburban, Small",Yes,584,71.49,8.17,103,Regular
Pioneer Valley Performing Arts Charter Public,Hampshire County,South Hadley,"Suburban, Large",Yes,397,42.65,9.31,152,Regular
Pioneer Valley,Franklin County,Northfield,"Rural, Fringe",No,239,22.33,10.7,72,Regular
Pittsfield,Berkshire County,Pittsfield,"City, Small",No,727,69.87,10.41,426,Regular
Holliston,Middlesex County,Holliston,"Suburban, Large",No,605,42.15,14.35,65,Regular
South Hadley,Hampshire County,South Hadley,"Suburban, Large",No,271,19.67,13.78,103,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,627,44.05,14.23,523,Regular
Gloucester,Essex County,Gloucester,"Suburban, Large",No,217,16.7,12.99,63,Regular
Plymouth,Plymouth County,Plymouth,"Rural, Fringe",No,920,83.38,11.03,360,Regular
Plymouth,Plymouth County,Plymouth,"Rural, Fringe",No,225,13.56,16.59,67,Regular
Plymouth,Plymouth County,Plymouth,"Suburban, Large",No,1169,105.05,11.13,365,Regular
Hingham,Plymouth County,Hingham,"Suburban, Large",No,352,31.63,11.13,28,Regular
Plymouth,Plymouth County,Plymouth,"Suburban, Large",No,1001,98.97,10.11,238,Regular
Plymouth,Plymouth County,Plymouth,"Suburban, Large",No,601,52.33,11.48,157,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,377,32.47,11.61,233,Regular
Needham,Norfolk County,Needham,"Suburban, Large",No,867,79.08,10.96,77,Regular
Framingham,Middlesex County,Framingham,"City, Small",No,540,42.3,12.77,311,Regular
Southwick-Tolland-Granville Regional School District,Hampden County,Southwick,"Suburban, Large",No,383,35.23,10.87,128,Regular
Wellesley,Norfolk County,Wellesley,"Suburban, Large",No,87,9,9.67,7,Regular
Leominster,Worcester County,Leominster,"Suburban, Midsize",No,151,10.59,14.26,92,Regular
Topsfield,Essex County,Topsfield,"Suburban, Large",No,251,24.04,10.44,14,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,138,8.65,15.95,88,Regular
Prospect Hill Academy Charter,Middlesex County,Cambridge,"City, Midsize",Yes,890,84.34,10.55,510,Regular
Provincetown,Barnstable County,Provincetown,"Town, Fringe",No,152,19.75,7.7,62,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,283,31.6,8.96,119,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,462,38.9,11.88,273,Regular
Quabbin,Worcester County,Barre,"Rural, Distant",No,545,42.4,12.85,173,Regular
Quabbin,Worcester County,Barre,"Rural, Distant",No,510,34.65,14.72,178,Regular
Quaboag Regional,Worcester County,Warren,"Rural, Distant",No,53,2,26.5,23,Regular
Quaboag Regional,Worcester County,Warren,"Rural, Distant",No,334,33.44,9.99,138,Regular
Quaboag Regional,Worcester County,Warren,"Rural, Distant",No,196,10.88,18.01,87,Regular
Monson,Hampden County,Monson,"Rural, Fringe",No,120,10.12,11.86,48,Regular
Mashpee,Barnstable County,Mashpee,"Suburban, Large",No,399,37.2,10.73,171,Regular
Boston,Suffolk County,Boston,"City, Large",No,731,60.76,12.03,418,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,1514,118.31,12.8,836,Regular
Boston,Suffolk County,Boston,"City, Large",No,557,46.47,11.99,375,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,738,55.4,13.32,615,Regular
Rockland,Plymouth County,Rockland,"Suburban, Large",No,242,20.75,11.66,100,Regular
Worthington,Hampshire County,Worthington,"Rural, Distant",No,76,7.5,10.13,28,Regular
Northampton,Hampshire County,Florence,"City, Small",No,231,24.8,9.31,81,Regular
Gloucester,Essex County,Gloucester,"Suburban, Large",No,619,54.33,11.39,279,Regular
Ralph C Mahar,Franklin County,Orange,"Town, Fringe",No,509,56.31,9.04,298,Regular
Avon,Norfolk County,Avon,"Suburban, Large",No,323,31.5,10.25,133,Regular
Weymouth,Norfolk County,South Weymouth,"Suburban, Large",No,300,22.87,13.12,101,Regular
Medfield,Norfolk County,Medfield,"Suburban, Large",No,404,22.3,18.12,24,Regular
Randolph,Norfolk County,Randolph,"Suburban, Large",No,640,56,11.43,378,Regular
Randolph,Norfolk County,Randolph,"Suburban, Large",No,765,54,14.17,490,Regular
Millbury,Worcester County,Millbury,"Suburban, Large",No,454,35.45,12.81,146,Regular
Acton-Boxborough,Middlesex County,Acton,"Suburban, Large",No,824,67.43,12.22,89,Regular
Bridgewater-Raynham,Bristol County,Raynham,"Suburban, Large",No,710,44.77,15.86,197,Regular
Reading,Middlesex County,Reading,"Suburban, Large",No,1094,90.25,12.12,132,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,589,54.7,10.77,549,Regular
Fitchburg,Worcester County,Fitchburg,"Suburban, Midsize",No,679,54,12.57,464,Regular
Franklin,Norfolk County,Franklin,"Suburban, Large",No,358,36.35,9.85,87,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,171,24.37,7.02,156,Other/Alternative
Revere,Suffolk County,Revere,"Suburban, Large",No,2115,155.88,13.57,1361,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,502,32.83,15.29,391,Regular
Stoughton,Norfolk County,Stoughton,"Suburban, Large",No,357,27.51,12.98,231,Regular
Easton,Bristol County,North Easton,"Suburban, Large",No,755,55,13.73,155,Regular
Marlborough,Middlesex County,Marlborough,"Suburban, Large",No,596,44.95,13.26,383,Regular
Richmond,Berkshire County,Richmond,"Rural, Fringe",No,157,17.38,9.03,44,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,292,31,9.42,88,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,74,9.5,7.79,65,Other/Alternative
Reading,Middlesex County,Reading,"Suburban, Large",No,116,8.6,13.49,7,Regular
Rising Tide Charter Public,Plymouth County,Plymouth,"Suburban, Large",Yes,617,58.3,10.58,161,Regular
Westford,Middlesex County,Westford,"Suburban, Large",No,281,27.96,10.05,32,Regular
River Valley Charter,Essex County,Newburyport,"Suburban, Large",Yes,288,25.16,11.45,†,Regular
Dedham,Norfolk County,Dedham,"Suburban, Large",No,206,21.46,9.6,62,Regular
Danvers,Essex County,Danvers,"Suburban, Large",No,350,27.4,12.77,78,Regular
Northborough,Worcester County,Northborough,"Suburban, Large",No,545,50.55,10.78,96,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,568,49,11.59,429,Regular
Holliston,Middlesex County,Holliston,"Suburban, Large",No,626,49.94,12.54,63,Regular
Attleboro,Bristol County,Attleboro,"Suburban, Large",No,574,37.34,15.37,192,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,410,36.71,11.17,328,Regular
Pittsfield,Berkshire County,Pittsfield,"City, Small",No,176,15.26,11.53,102,Regular
Agawam,Hampden County,Agawam,"Suburban, Large",No,522,42.42,12.31,219,Regular
Stoneham,Middlesex County,Stoneham,"Suburban, Large",No,380,30.12,12.62,71,Regular
Rochester,Plymouth County,Rochester,"Rural, Fringe",No,473,41.3,11.45,83,Regular
Rockland,Plymouth County,Rockland,"Suburban, Large",No,590,47.1,12.53,265,Regular
Rockport,Essex County,Rockport,"Suburban, Large",No,264,29.05,9.09,69,Regular
Rockport,Essex County,Rockport,"Suburban, Large",No,367,44,8.34,97,Regular
Canton,Norfolk County,Canton,"Suburban, Large",No,121,9,13.44,30,Regular
Belmont,Middlesex County,Belmont,"Suburban, Large",No,426,32.2,13.23,79,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,1382,116.76,11.84,1011,Vocational
Lowell,Middlesex County,Lowell,"Suburban, Large",No,892,68,13.12,739,Regular
Mansfield,Bristol County,Mansfield,"Suburban, Large",No,107,7,15.29,23,Regular
Brookline,Norfolk County,Chestnut Hill,"Suburban, Large",No,418,31.31,13.35,52,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,157,21,7.48,131,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,604,43.71,13.82,392,Regular
Melrose,Middlesex County,Melrose,"Suburban, Large",No,406,26.65,15.23,46,Regular
North Attleborough,Bristol County,North Attleborough,"Suburban, Large",No,255,20,12.75,62,Regular
Boston,Suffolk County,Hyde Park,"City, Large",No,364,35.16,10.35,236,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,759,75.5,10.05,649,Regular
West Bridgewater,Plymouth County,West Bridgewater,"Suburban, Large",No,296,20.58,14.38,74,Regular
Rowe,Franklin County,Rowe,"Rural, Distant",No,54,9.67,5.58,21,Regular
Roxbury Preparatory Charter,Suffolk County,Roxbury,"City, Large",Yes,1126,43.63,25.81,877,Regular
Athol-Royalston,Worcester County,Royalston,"Rural, Distant",No,152,12.3,12.36,75,Regular
Quabbin,Worcester County,Barre,"Rural, Distant",No,402,25.85,15.55,151,Regular
Revere,Suffolk County,Revere,"Suburban, Large",No,587,56.93,10.31,396,Regular
Newburyport,Essex County,Newburyport,"Suburban, Large",No,470,50.43,9.32,61,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,356,30,11.87,293,Regular
Littleton,Middlesex County,Littleton,"Suburban, Large",No,375,28.51,13.15,38,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,604,62.97,9.59,523,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,501,38.1,13.15,385,Regular
Salem Academy Charter,Essex County,Salem,"Suburban, Large",Yes,480,43.55,11.02,260,Regular
Salem,Essex County,Salem,"Suburban, Large",No,106,11.5,9.22,37,Regular
Salem,Essex County,Salem,"Suburban, Large",No,952,97.11,9.8,587,Regular
Salem,Essex County,Salem,"Suburban, Large",No,23,1.95,11.79,19,Regular
Malden,Middlesex County,Malden,"Suburban, Large",No,1033,72.74,14.2,754,Regular
Triton,Essex County,Salisbury,"Suburban, Large",No,386,42.79,9.02,171,Regular
Salem,Essex County,Salem,"Suburban, Large",No,412,31.2,13.21,272,Regular
Leominster,Worcester County,Leominster,"Suburban, Midsize",No,495,42,11.79,261,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,325,31.4,10.35,269,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,287,22.68,12.65,246,Regular
Mohawk Trail,Franklin County,Ashfield,"Rural, Distant",No,125,10.1,12.38,56,Regular
Sandwich,Barnstable County,East Sandwich,"Suburban, Large",No,888,83.15,10.68,171,Regular
Westborough,Worcester County,Westborough,"Suburban, Large",No,610,57.97,10.52,108,Regular
Saugus,Essex County,Saugus,"Suburban, Large",No,744,48.12,15.46,369,Regular
Saugus,Essex County,Saugus,"Suburban, Large",No,616,45.26,13.61,287,Regular
Wellesley,Norfolk County,Wellesley,"Suburban, Large",No,291,26.68,10.91,29,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,118,31.2,3.78,106,Regular
Scituate,Plymouth County,Scituate,"Suburban, Large",No,725,64.12,11.31,91,Regular
Seekonk,Bristol County,Seekonk,"Suburban, Large",No,505,47.6,10.61,81,Regular
Seekonk,Bristol County,Seekonk,"Suburban, Large",No,6,1,6,†,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,300,23.21,12.93,201,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,618,50.23,12.3,518,Regular
Littleton,Middlesex County,Littleton,"Suburban, Large",No,425,32,13.28,39,Regular
Woburn,Middlesex County,Woburn,"Suburban, Large",No,284,27.42,10.36,138,Regular
Sharon,Norfolk County,Sharon,"Suburban, Large",No,56,5,11.2,7,Regular
Sharon,Norfolk County,Sharon,"Suburban, Large",No,1161,97.47,11.91,155,Regular
Sharon,Norfolk County,Sharon,"Suburban, Large",No,815,77.17,10.56,91,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,528,56.28,9.38,472,Regular
Wilmington,Middlesex County,Wilmington,"Suburban, Large",No,304,30.35,10.02,33,Regular
Andover,Essex County,Andover,"Suburban, Large",No,85,10,8.5,14,Regular
Shawsheen Valley Regional Vocational Technical,Middlesex County,Billerica,"Suburban, Large",No,1282,130,9.86,316,Vocational
Amesbury,Essex County,Amesbury,"Suburban, Large",No,485,40.5,11.98,151,Regular
Gill-Montague,Franklin County,Turners Falls,"Town, Distant",No,199,20.15,9.88,117,Regular
Dudley-Charlton Reg,Worcester County,Dudley,"Suburban, Large",No,942,65.73,14.33,312,Regular
Shrewsbury,Worcester County,Shrewsbury,"Suburban, Large",No,951,71.17,13.36,177,Regular
Milford,Worcester County,Milford,"Suburban, Large",No,158,9,17.56,82,Regular
Shrewsbury,Worcester County,Shrewsbury,"Suburban, Large",No,1891,131.1,14.42,306,Regular
Chelsea,Suffolk County,Chelsea,"Suburban, Large",No,779,58.02,13.43,613,Regular
Shutesbury,Franklin County,Shutesbury,"Rural, Fringe",No,125,18.35,6.81,37,Regular
Haverhill,Essex County,Haverhill,"Suburban, Large",No,481,42.9,11.21,319,Regular
Silver Lake,Plymouth County,Kingston,"Rural, Fringe",No,83,6.1,13.61,20,Regular
Silver Lake,Plymouth County,Kingston,"Suburban, Large",No,1034,86.15,12,230,Regular
Silver Lake,Plymouth County,Kingston,"Suburban, Large",No,544,45,12.09,121,Regular
Pittsfield,Berkshire County,Pittsfield,"City, Small",No,379,37.88,10.01,334,Regular
Marion,Plymouth County,Marion,"Suburban, Large",No,369,34.4,10.73,105,Regular
Sizer School: A North Central Charter Essential,Worcester County,Fitchburg,"Rural, Fringe",Yes,282,31.3,9.01,148,Regular
Leominster,Worcester County,Leominster,"Suburban, Midsize",No,869,56.2,15.46,460,Regular
Hatfield,Hampshire County,Hatfield,"Suburban, Small",No,109,18.01,6.05,16,Regular
Northampton-Smith Vocational Agricultural,Hampshire County,Northampton,"City, Small",No,587,65,9.03,216,Vocational
Boston,Suffolk County,Boston,"City, Large",No,421,37.84,11.13,335,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,380,29.59,12.84,281,Regular
Somerset Berkley Regional School District,Bristol County,Somerset,"Suburban, Large",No,896,77.25,11.6,236,Regular
Somerset,Bristol County,Somerset,"Suburban, Large",No,610,46.7,13.06,159,Regular
Somerville,Middlesex County,Somerville,"Suburban, Large",No,1394,124.5,11.2,734,Regular
Hampden-Wilbraham,Hampden County,Wilbraham,"Suburban, Large",No,321,23.83,13.47,70,Regular
Stoneham,Middlesex County,Stoneham,"Suburban, Large",No,347,28.18,12.31,91,Regular
Somerset,Bristol County,Somerset,"Suburban, Large",No,242,23.68,10.22,99,Regular
Southern Berkshire,Berkshire County,Sheffield,"Rural, Distant",No,11,1,11,4,Regular
Plymouth,Plymouth County,Plymouth,"Rural, Fringe",No,614,50.54,12.15,156,Regular
Stoughton,Norfolk County,Stoughton,"Suburban, Large",No,305,23.55,12.95,112,Regular
Hingham,Plymouth County,Hingham,"Suburban, Large",No,496,34.4,14.42,22,Regular
Andover,Essex County,Andover,"Suburban, Large",No,438,33.8,12.96,41,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,163,18.2,8.96,154,Regular
Grafton,Worcester County,South Grafton,"Suburban, Large",No,280,18.87,14.84,40,Regular
South Hadley,Hampshire County,South Hadley,"Suburban, Large",No,479,55.8,8.58,151,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,1800,123.22,14.61,1275,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,666,55.5,12,584,Regular
Peabody,Essex County,Peabody,"Suburban, Large",No,506,31.55,16.04,135,Regular
Braintree,Norfolk County,Braintree,"Suburban, Large",No,635,54.83,11.58,125,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,398,38.25,10.41,303,Regular
Marshfield,Plymouth County,Marshfield,"Suburban, Large",No,272,22.3,12.2,38,Regular
Chelmsford,Middlesex County,Chelmsford,"Suburban, Large",No,464,34.75,13.35,52,Regular
South Shore Charter Public,Plymouth County,Norwell,"Suburban, Large",Yes,1057,94.49,11.19,367,Regular
South Shore Regional Vocational Technical,Plymouth County,Hanover,"Suburban, Large",No,685,66.67,10.27,185,Vocational
Fitchburg,Worcester County,Fitchburg,"Suburban, Midsize",No,570,46,12.39,416,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,449,37.78,11.88,268,Regular
Westfield,Hampden County,Westfield,"Suburban, Large",No,310,21.55,14.39,124,Regular
Southbridge,Worcester County,Southbridge,"Town, Fringe",No,21,2.2,9.55,18,Special Education
